user_id,book_id,rating,goodreads_book_id_x,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,goodreads_book_id_y,tag_name
33937,6462,5,13605723,13605723,19200593,21,1937053571,9781937053570.0,Jennifer L. Armentrout,2013.0,,"Sentinel (Covenant, #5)",eng,4.49,24150,26221,2701,176,517,2285,6544,16699,https://images.gr-assets.com/books/1365509138m/13605723.jpg,https://images.gr-assets.com/books/1365509138s/13605723.jpg,6462.0,"['Bio-memoir', 'History', 'War']"
46496,5890,1,207034,207034,969,24,440421241,9780440421240.0,Jeanne DuPrau,2006.0,The Prophet of Yonwood,"The Prophet of Yonwood (Book of Ember, #3)",en-US,3.25,22237,23844,2106,1487,4480,8323,5642,3912,https://images.gr-assets.com/books/1320636285m/207034.jpg,https://images.gr-assets.com/books/1320636285s/207034.jpg,5890.0,"['Classic', 'Mystery', 'Romance']"
46674,291,4,3591262,3591262,3633533,74,375414495,9780375414500.0,Abraham Verghese,2009.0,Cutting for Stone,Cutting for Stone,eng,4.28,258319,281079,23146,4586,9249,32671,91293,143280,https://images.gr-assets.com/books/1327931601m/3591262.jpg,https://images.gr-assets.com/books/1327931601s/3591262.jpg,291.0,"['Classic', 'Fantasy', 'Romance']"
22329,291,4,3591262,3591262,3633533,74,375414495,9780375414500.0,Abraham Verghese,2009.0,Cutting for Stone,Cutting for Stone,eng,4.28,258319,281079,23146,4586,9249,32671,91293,143280,https://images.gr-assets.com/books/1327931601m/3591262.jpg,https://images.gr-assets.com/books/1327931601s/3591262.jpg,291.0,"['Classic', 'Fantasy', 'Romance']"
9209,2,5,3,3,4640799,491,439554934,9780439554930.0,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,2.0,"['Children-s-lit', 'Classic', 'Fantasy', 'Fiction', 'Kids', 'Mystery', 'Romance']"
43079,275,5,49750,49750,48658,116,525476881,9780525476890.0,John Green,2006.0,An Abundance of Katherines,An Abundance of Katherines,eng,3.63,312754,347424,20657,14225,36867,98115,111740,86477,https://images.gr-assets.com/books/1360206426m/49750.jpg,https://images.gr-assets.com/books/1360206426s/49750.jpg,275.0,"['Classic', 'Fiction', 'Romance']"
39944,2879,3,153542,153542,1069773,40,395169615,9780395169610.0,Virginia Lee Burton,1938.0,Mike Mulligan and His Steam Shovel,Mike Mulligan and His Steam Shovel,,4.2,42632,43735,525,569,1637,7816,12366,21347,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2879.0,"['Fantasy', 'Fiction']"
32586,6,4,11870085,11870085,16827462,226,525478817,9780525478810.0,John Green,2012.0,The Fault in Our Stars,The Fault in Our Stars,eng,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420s/11870085.jpg,6.0,"['Children-s-lit', 'Classic', 'Fantasy', 'Fiction', 'Kids', 'Mystery']"
13625,13,3,5470,5470,153313,995,451524934,9780451524940.0,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,1984,eng,4.14,1956832,2053394,45518,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,13.0,"['Classic', 'Fantasy', 'Fiction']"
33233,880,3,2800905,2800905,2451397,52,61662690,9780061662690.0,Kelley Armstrong,2008.0,The Summoning,"The Summoning (Darkest Powers, #1)",en-US,4.03,132285,136832,5830,3330,7629,27219,42153,56501,https://images.gr-assets.com/books/1478986944m/2800905.jpg,https://images.gr-assets.com/books/1478986944s/2800905.jpg,880.0,"['Fiction', 'History', 'Mystery']"
3208,1911,4,7093952,7093952,7350661,65,670021873,9780670021870.0,Tana French,2010.0,Faithful Place,"Faithful Place (Dublin Murder Squad, #3)",eng,3.97,55355,61097,5736,584,2205,13196,27712,17400,https://images.gr-assets.com/books/1291165900m/7093952.jpg,https://images.gr-assets.com/books/1291165900s/7093952.jpg,1911.0,['History']
44474,3873,5,26236956,26236956,46227741,46,399175164,9780399175170.0,Nora Roberts,2016.0,The Obsession,The Obsession,eng,4.18,25318,37511,3257,909,1343,5262,12585,17412,https://images.gr-assets.com/books/1444838367m/26236956.jpg,https://images.gr-assets.com/books/1444838367s/26236956.jpg,3873.0,"['Fiction', 'History']"
17187,27,5,1,1,41335427,275,439785960,9780439785970.0,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg,27.0,"['Bio-memoir', 'Fiction', 'History']"
5151,50,5,30119,30119,30518,45,60513039,9780060513030.0,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng,4.29,1016888,1023781,9234,16590,30792,139024,293222,544153,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg,50.0,"['Children-s-lit', 'Classic', 'Fiction', 'Kids']"
16229,30,5,8442457,19288043,13306276,196,297859382,9780297859380.0,Gillian Flynn,2012.0,Gone Girl,Gone Girl,eng,4.03,512475,1626519,121614,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,30.0,"['Classic', 'Fantasy', 'Fiction', 'War']"
17613,26,3,968,968,2982101,350,307277674,9780307277670.0,Dan Brown,2003.0,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,26.0,"['Bio-memoir', 'Fiction', 'History']"
22599,26,5,968,968,2982101,350,307277674,9780307277670.0,Dan Brown,2003.0,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,26.0,"['Bio-memoir', 'Fiction', 'History']"
39115,2784,3,8099187,8099187,12842742,39,307590615,9780307590620.0,George W. Bush,2010.0,Decision Points,Decision Points,eng,3.77,28943,31666,2557,1293,1906,7652,12627,8188,https://images.gr-assets.com/books/1320428975m/8099187.jpg,https://images.gr-assets.com/books/1320428975s/8099187.jpg,2784.0,['History']
40948,2,5,3,3,4640799,491,439554934,9780439554930.0,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,2.0,"['Children-s-lit', 'Classic', 'Fantasy', 'Fiction', 'Kids', 'Mystery', 'Romance']"
7812,11,3,77203,77203,3295919,283,1594480001,9781594480000.0,Khaled Hosseini,2003.0,The Kite Runner ,The Kite Runner,eng,4.26,1813044,1878095,59730,34288,59980,226062,628174,929591,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg,11.0,"['Classic', 'Fantasy', 'Fiction']"
52309,2657,5,182425,182425,1133939,54,553580221,9780553580230.0,Dean Koontz,1999.0,False Memory,False Memory,en-US,3.87,36882,38019,995,740,2241,9882,13648,11508,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2657.0,"['Classic', 'Fiction', 'History', 'Mystery']"
12657,249,3,4588,4588,1940137,104,618711651,9780618711660.0,Jonathan Safran Foer,2005.0,Extremely Loud and Incredibly Close,Extremely Loud and Incredibly Close,en-US,3.97,294726,319116,21107,8847,20556,61303,109008,119402,https://images.gr-assets.com/books/1327879967m/4588.jpg,https://images.gr-assets.com/books/1327879967s/4588.jpg,249.0,"['Classic', 'Fiction', 'Romance']"
47477,1,5,2767052,2767052,2792775,272,439023483,9780439023480.0,Suzanne Collins,2008.0,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,1.0,"['Children-s-lit', 'Fantasy', 'Fiction', 'Kids', 'Mystery', 'Romance']"
2686,25,4,136251,136251,2963218,263,545010225,9780545010220.0,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg,25.0,"['Fiction', 'History']"
29907,24,5,6,6,3046572,332,439139600,9780439139600.0,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg,24.0,"['Bio-memoir', 'Fiction', 'History']"
